feature_name,importance
simple_User_id_receive_cnt,22203.0
discount_rate,19687.0
simple_User_id_Coupon_id_receive_cnt,19407.0
min_cost_of_manjian,14730.0
Distance,14002.0
simple_User_id_Date_received_receive_cnt,10087.0
week,9050.0
simple_User_id_Coupon_id_Date_received_receive_cnt,2823.0
week_3,2770.0
null_distance,2290.0
is_manjian,2263.0
week_4,2123.0
week_2,2024.0
week_5,1826.0
week_1,1764.0
is_weekend,1218.0
simple_User_id_Coupon_id_Date_received_repeat_receive,1090.0
week_0,958.0
week_6,828.0
